Code,Location,TotalPopulation,Below200P,200To400P,Above400P,UninsuredTotal,UninsuredBelow200P,Uninsured200To400P,UninsuredAbove400P,UnderinsuredTotal,UnderinsuredBelow200P,Underinsured200To400P,UnderinsuredAbove400P
US,United States,267126703,102372326,76277801,88476576,48517754,32324397,11132773,5060584,30305992,24386352,4385538,1534102
AK,Alaska,645735,208664,180749,256322,125692,67467,39532,18693,83182,59072,17089,7021
AL,Alabama,4085878,1675582,1154712,1255584,655727,482853,116132,56742,549324,507816,33826,7682
AR,Arkansas,2449840,1115572,724813,609455,507156,350029,105976,51151,364396,296466,45781,22149
AZ,Arizona,5811325,2426576,1748916,1635833,1182218,797681,267369,117168,726693,567966,117348,41379
CA,California,33098289,14495703,8266617,10335969,7169205,4984319,1525280,659606,3360815,2852125,350793,157897
CO,Colorado,4461161,1376895,1248084,1836182,716355,446969,170903,98483,573772,402351,97612,73809
CT,Connecticut,3028358,811087,765308,1451963,334612,181459,86697,66456,297617,212900,51517,33200
DC,District of Columbia,536847,202381,109520,224946,61970,39420,13556,8994,44390,36812,3664,3914
DE,Delaware,762952,263111,231518,268323,92941,58563,24133,10245,75606,61145,8429,6032
FL,Florida,15485997,6270026,4439307,4776664,3735175,2444840,846439,443896,1696524,1392832,229306,74386
GA,Georgia,8796355,3676951,2557527,2561877,1868633,1281239,392612,194782,1035730,891212,98192,46326
HI,Hawaii,1105562,433370,338858,333334,97360,64521,19858,12981,131370,121927,7924,1519
IA,Iowa,2618229,839385,887729,891115,329831,208592,86022,35217,297636,233747,57782,6107
ID,Idaho,1349073,593845,416892,338336,278035,200564,58903,18568,230122,160670,50844,18608
IL,Illinois,11180648,4338031,3068102,3774515,1864752,1258146,421649,184957,1270892,1068342,156119,46431
IN,Indiana,5475788,2091838,1748183,1635767,800105,518436,189713,91956,753216,589096,125310,38810
KS,Kansas,2397458,884626,750621,762211,365151,239849,81462,43840,262313,211313,37551,13449
KY,Kentucky,3740391,1524638,1169359,1046394,626535,454264,124825,47446,520450,425367,69057,26026
LA,Louisiana,3892169,1715585,1115057,1061527,901234,617872,210439,72923,478473,388387,58631,31455
MA,Massachusetts,5628879,1609225,1345135,2674519,285523,165225,70413,49885,490354,411823,56525,22006
MD,Maryland,5051249,1460800,1319597,2270852,762074,465778,208916,87380,458607,358280,61779,38548
ME,Maine,1099531,359220,353510,386801,126659,72637,38683,15339,142895,104078,26043,12774
MI,Michigan,8375344,3152958,2319997,2902389,1216292,800912,250124,165256,1002795,844493,134912,23390
MN,Minnesota,4538458,1208221,1449712,1880525,493317,292822,135939,64556,409826,296798,82542,30486
MO,Missouri,5116809,1909826,1481048,1725935,854758,580833,209282,64643,620809,496807,101494,22508
MS,Mississippi,2547959,1199796,755559,592604,539991,388734,96375,54882,408474,320154,67462,20858
MT,Montana,810748,318997,267625,224126,175802,108385,44368,23049,114954,87326,19559,8069
NC,North Carolina,8147847,3191905,2428593,2527349,1551163,1006034,397900,147229,1159441,889858,215638,53945
ND,North Dakota,567988,144196,194158,229634,71998,44156,20459,7383,58139,33284,19121,5734
NE,Nebraska,1577779,480351,527375,570053,228550,133765,68863,25922,189550,133957,42978,12615
NH,New Hampshire,1124155,238344,322954,562857,147806,74594,45926,27286,90605,67150,13734,9721
NJ,New Jersey,7497127,2335379,1816128,3345620,1313626,838147,275971,199508,641779,544594,71270,25915
NM,New Mexico,1727815,786472,436825,504518,410918,276876,88180,45862,231202,199149,18576,13477
NV,Nevada,2332723,985022,714467,633234,580802,397544,132048,51210,287520,228945,34133,24442
NY,New York,16735918,6476698,4669224,5589996,2555446,1599609,644626,311211,1622540,1370194,204683,47663
OH,Ohio,9752948,3581967,3041190,3129791,1530850,1021186,369403,140261,1113094,823678,198118,91298
OK,Oklahoma,3197662,1275628,972683,949351,627076,407801,142156,77119,424332,338582,66428,19322
OR,Oregon,3277775,1245895,952815,1079065,569351,376959,141927,50465,460571,354843,83042,22686
PA,Pennsylvania,10578237,3508403,3211544,3858290,1357028,859111,331095,166822,1018237,864280,112648,41309
RI,Rhode Island,886927,301580,233975,351372,120117,79598,27061,13458,90663,76500,12044,2119
SC,South Carolina,3924693,1670072,1255519,999102,898246,608634,220233,69379,422751,322673,74817,25261
SD,South Dakota,697162,241270,244814,211078,104533,66557,24805,13171,79059,55991,19106,3962
TN,Tennessee,5506092,2258525,1736261,1511306,873907,628778,197120,48009,830150,640985,166917,22248
TX,Texas,22753418,10128402,6244480,6380536,6039491,4239429,1297233,502829,2633636,2101038,427663,104935
UT,Utah,2536981,900148,947000,689833,395562,238113,113518,43931,388987,313016,64804,11167
VA,Virginia,6898870,2014224,2010566,2874080,1070324,655599,287109,127616,618806,493019,87306,38481
VT,Vermont,532328,155981,170438,205909,55697,27758,17885,10054,52326,41476,7435,3415
WA,Washington,5898020,2007274,1734160,2156586,943281,610791,236616,95874,708135,502445,131344,74346
WI,Wisconsin,4825098,1487609,1552340,1785149,552922,345920,130914,76088,500451,372130,98251,30070
WV,West Virginia,1570407,638198,486925,445284,255873,162260,58454,35159,208622,170767,29281,8574
WY,Wyoming,487701,155874,159312,172515,96084,52769,27671,15644,74161,48493,19110,6558
